,481496
der,16631
e,15668
1,12643
-,12582
2,11915
die,11150
the,10764
r,10698
n,10324
t,9330
und,8702
0,8653
3,8252
a,8244
in,8182
of,8027
ISO,7407
5,7104
s,6393
i,6056
4,5799
o,5782
d,5620
h,5615
u,5347
EN,4972
von,4879
7,4760
6,4477
des,4384
werden,4294
l,4239
N,4173
f,4084
für,4030
—,3760
mit,3719
and,3511
B,3432
ist,3346
DIN,3310
8,3283
to,3215
D,3213
Die,3212
S,3074
m,2926
oder,2898
–,2790
E,2783
den,2743
c,2742
A,2714
=,2703
zu,2689
9,2552
wird,2549
mm,2523
I,2477
g,2461
is,2337
einer,2301
be,2286
bei,2273
for,2173
auf,2172
C,2150
10,2034
test,1999
%,1980
K,1973
b,1971
sind,1946
eine,1880
dem,1726
zur,1697
k,1691
nach,1657
T,1635
muss,1599
als,1577
durch,1560
L,1544
Bild,1506
(D),1490
nicht,1481
an,1435
im,1407
w,1407
or,1371
The,1362
F,1348
:,1323
das,1292
de,1281
testing,1236
elektronische,1227
Auslegestelle-Beuth-Sächsische,1222
Landesbibliothek,1222
Staats-,1222
Universitäts-,1222
bibliothek,1222
Dresden-KdNr,1222
2786058-ID,1222
(f),1221
Externe,1213
R,1209
Tabelle,1192
ü,1191
Norm,1157
M,1142
einem,1119
Probe,1116
dass,1066
W,1043
specimen,1043
bis,1038
aus,1026
Prüfung,1013
z,981
Anhang,962
shall,959
kann,956
at,944
EXZFCWFDT67FV8L5ITU4PKWI,934
2-2019-01-14,934
Verfahren,892
(m),883
müssen,873
as,852
ein,840
by,839
sein,833
+,825
are,817
Bestimmung,814
with,813
dieser,806
±,779
that,776
G,775
unter,774
12,772
Der,767
zwischen,767
(siehe,762
Bei,760
V,748
on,746
11,735
H,728
In,719
Proben,718
wurde,717
vom,692
),686
©,678
um,674
können,673
20,669
Für,659
Teil,636
Diese,635
wenn,633
siehe,623
length,613
zum,610
from,604
Entwurf,599
rights,599
eines,598
this,595
wie,591
ANMERKUNG,590
used,585
v,583
P,579
All,578
verwendet,566
U,549
X,549
nur,548
ä,547
reserved,542
strain,529
O,527
Anforderungen,527
13,526
sich,524
may,523
so,522
15,517
not,515
Inhomogenität,510
Es,506
100,502
force,500
specimens,498
0,5,489
a),487
50,486
materials,485
es,482
(cid:151),482
Figure,481
darf,479
auch,475
angegeben,474
Länge,473
stress,473
x,470
(,468
b),468
sollte,465
p,461
Messunsicherheit,460
J,459
×,457
folgenden,453
nationalen,452
einen,450
Das,445
should,445
measurement,439
25,436
über,435
Überprüfung,433
Wenn,431
durchgeführt,431
Anwendung,428
Bereich,427
method,427
1),424
fatigue,424
which,422
,,421
2),420
14,419
Europäische,417
°C,417
CEN,416
festgelegt,411
Normen,410
temperature,407
diese,405
can,405
Anzahl,400
(ISO,393
Form,389
16,377
1:,377
diesem,374
Dokument,374
Allgemeines,374
dieses,374
Part,374
Gleichung,374
Unsicherheit,371
Wert,369
bestimmt,365
17,362
For,361
y,360
Probekörper,360
data,356
19,355
Art,354
This,353
Dicke,350
mindestens,348
30,347
Dehnung,347
<,345
hardness,338
prEN,336
results,335
Verweisungen,334
Test,333
material,333
ohne,332
alle,332
Legende,332
MPa,327
wurden,323
machine,323
Seite,322
Verwendung,322
Maße,318
it,317
surface,315
c),314
zwei,314
than,312
µm,312
NOTE,310
Oberfläche,308
18,307
erforderlich,306
Größe,306
000,305
Dieses,303
Komitee,300
Prüfmaschine,298
Eine,298
max,298
reference,298
Kalibrierung,297
gauge,297
uncertainty,297
Messlänge,296
Vorwort,294
Werkstoffe,292
Durchmesser,292
Messung,291
Breite,291
(informativ),290
gehalten,288
NWWQR5O1637TSZFNE5VISUVT,288
1-2019-05-10,288
gilt,287
sie,287
am,285
www,284
Auswertung,280
anderen,280
between,280
crack,280
Abstand,279
value,279
Angaben,278
time,278
standard,277
Unregelmäßigkeiten,274
number,273
range,272
Dokuments,271
40,270
gleich,270
Begriffe,266
>,263
Y,261
vor,261
angewendet,261
keine,260
Ergebnisse,259
given,259
et,258
ISO/DIS,258
Einschlüsse,258
3),257
Fassung,256
Werte,256
während,255
any,255
parallel,253
sollten,253
dürfen,252
Q,251
Stahl,251
festgelegten,250
la,250
Siehe,250
Standardabweichung,250
(see,249
Inhomogenitäten,248
Nr,246
aber,245
2:,245
values,243
beim,242
hat,242
zulässig,242
section,242
technique,242
Prüfbericht,241
Technischen,241
größer,241
thickness,240
following,239
berechnet,238
tests,238
22,237
Bruch,236
(z,236
It,236
Extensometer-Dehnung,235
Table,234
cycle,233
denen,232
Anfangsmesslänge,231
d),231
innerhalb,231
par,229
0,1,227
folgende,226
Status,226
[0,226
ö,225
Temperatur,225
within,225
has,224
Im,223
each,223
ASTM,222
entsprechenden,220
Bezug,220
Sie,219
Abschnitt,218
Metallic,218
Typ,218
Z,217
calibration,217
en,217
/,215
Berechnung,215
International,214
Zerstörungsfreie,214
Bedingungen,213
Normung,213
Lo,213
21,213
creep,213
Republik,211
du,211
using,210
Europäischen,209
loading,209
Anzeigen,209
Fläche,208
Dabei,208
such,208
under,208
jedoch,207
0,2,207
Werkstoff,206
cycles,206
when,203
tensile,202
Beispiel,202
angegebenen,202
möglich,200
jede,200
23,200
amplitude,200
Mittelwert,199
Änderungen,199
entweder,199
Internationalen,198
Lage,197
bzw,197
where,197
Anwendungsbereich,196
einige,196
document,195
drei,194
Kraft,194
maximum,194
Verlängerung,194
system,194
Ausgabe,193
strength,192
Spannung,192
80,191
entsprechend,189
erarbeitet,189
Fo,189
mehr,188
during,188
See,188
piece,188
24,188
Fu,188
dann,187
haben,187
Anmerkung,187
Technik,187
besteht,186
signal,186
2017,185
use,185
Alle,184
General,184
if,184
figure,184
wobei,183
Prüfverfahren,182
relative,181
gleichen,181
Annex,181
verification,181
Deutsches,180
If,180
min,179
andere,179
kleiner,179
Institut,179
Streckgrenze,179
measuring,179
